AidXEndow,bins,,bins,Frequency
106341696.00,10000000,,10000000,132
131250160.00,20000000,,20000000,131
49122616.00,30000000,,30000000,93
68059746.00,40000000,,40000000,59
66588660.00,50000000,,50000000,27
56859900.00,60000000,,60000000,26
49725207.00,70000000,,70000000,17
50388378.00,80000000,,80000000,19
51589046.00,90000000,,90000000,8
52396800.00,100000000,,100000000,8
36132025.00,,,More,52
45622490.00,,,More,52
37368506.00,,,,
46290237.00,,,,
39089001.00,,,,
47822022.00,,,,
40437642.00,,,,
65673890.00,,,,
56140099.00,,,,
39709944.00,,,,
80200395.00,,,,
163156994.00,,,,
154152305.00,,,,
69115960.00,,,,
35743452.00,,,,
1982735556.00,,,,
1447130840.00,,,,
1028247558.00,,,,
559900000.00,,,,
326690028.00,,,,
1151461395.00,,,,
657720880.00,,,,
161749010.00,,,,
495154580.00,,,,
307517212.00,,,,
661529496.00,,,,
250491804.00,,,,
336001980.00,,,,
407565789.00,,,,
356596426.00,,,,
146939968.00,,,,
385482600.00,,,,
200690061.00,,,,
251251146.00,,,,
110184305.00,,,,
232094208.00,,,,
242323970.00,,,,
98252700.00,,,,
227439025.00,,,,
286601000.00,,,,
355953554.00,,,,
95793712.00,,,,
136940850.00,,,,
114146669.00,,,,
146382327.00,,,,
126596760.00,,,,
196066500.00,,,,
138610560.00,,,,
145218976.00,,,,
109699368.00,,,,
43838016.00,,,,
84586176.00,,,,
138353250.00,,,,
99448518.00,,,,
176598660.00,,,,
175273387.00,,,,
69519120.00,,,,
106559068.00,,,,
129161868.00,,,,
72600140.00,,,,
135798858.00,,,,
121682277.00,,,,
133369320.00,,,,
58344340.00,,,,
94319389.00,,,,
75037550.00,,,,
131357520.00,,,,
22339248.00,,,,
129523071.00,,,,
78188980.00,,,,
119403855.00,,,,
113064916.00,,,,
143710370.00,,,,
67793349.00,,,,
83300460.00,,,,
171093105.00,,,,
70937500.00,,,,
60333040.00,,,,
44642319.00,,,,
103512160.00,,,,
79706871.00,,,,
72259175.00,,,,
98867964.00,,,,
80713128.00,,,,
39756717.00,,,,
78122822.00,,,,
59203012.00,,,,
69344928.00,,,,
95040160.00,,,,
44808340.00,,,,
43250393.00,,,,
76453794.00,,,,
58176500.00,,,,
56714259.00,,,,
36381492.00,,,,
82092483.00,,,,
80951772.00,,,,
92490245.00,,,,
69096644.00,,,,
78387543.00,,,,
68517174.00,,,,
76067790.00,,,,
63091522.00,,,,
79198784.00,,,,
46454672.00,,,,
36162220.00,,,,
54707625.00,,,,
75874176.00,,,,
62246282.00,,,,
70144214.00,,,,
23595622.00,,,,
62877844.00,,,,
70783729.00,,,,
16136400.00,,,,
65587040.00,,,,
37594771.00,,,,
48915455.00,,,,
72198048.00,,,,
48209200.00,,,,
44758659.00,,,,
50046683.00,,,,
15811112.00,,,,
64652580.00,,,,
35393694.00,,,,
19492608.00,,,,
72247356.00,,,,
42881160.00,,,,
41729830.00,,,,
46867824.00,,,,
37308502.00,,,,
38665185.00,,,,
38147536.00,,,,
17882375.00,,,,
22613707.00,,,,
74459010.00,,,,
25440530.00,,,,
29434185.00,,,,
59463000.00,,,,
36733175.00,,,,
39889892.00,,,,
38648049.00,,,,
29810708.00,,,,
39734030.00,,,,
55899792.00,,,,
35498022.00,,,,
39058656.00,,,,
91124670.00,,,,
18102638.00,,,,
27713478.00,,,,
50437288.00,,,,
22944478.00,,,,
40237626.00,,,,
35554788.00,,,,
29659446.00,,,,
39381056.00,,,,
58833758.00,,,,
50794206.00,,,,
56984357.00,,,,
20878348.00,,,,
87969710.00,,,,
39254819.00,,,,
49767585.00,,,,
36067149.00,,,,
54289308.00,,,,
53653917.00,,,,
74372885.00,,,,
87614004.00,,,,
49586340.00,,,,
30066134.00,,,,
44615648.00,,,,
48698788.00,,,,
42082776.00,,,,
27598400.00,,,,
37105470.00,,,,
50103332.00,,,,
33338995.00,,,,
32811018.00,,,,
24493032.00,,,,
56198656.00,,,,
66905223.00,,,,
55282020.00,,,,
34606187.00,,,,
19406940.00,,,,
25426209.00,,,,
31608780.00,,,,
33001826.00,,,,
52843296.00,,,,
39699328.00,,,,
23538944.00,,,,
45029112.00,,,,
38364128.00,,,,
33749298.00,,,,
22178065.00,,,,
18390644.00,,,,
33463136.00,,,,
33103518.00,,,,
27467104.00,,,,
71760150.00,,,,
40119149.00,,,,
40255754.00,,,,
36648612.00,,,,
53877824.00,,,,
20448426.00,,,,
35861215.00,,,,
23562998.00,,,,
17514104.00,,,,
31246565.00,,,,
16874064.00,,,,
33716618.00,,,,
17873068.00,,,,
22402204.00,,,,
38516500.00,,,,
15190065.00,,,,
24747646.00,,,,
34671810.00,,,,
21759062.00,,,,
24098176.00,,,,
37149448.00,,,,
23228310.00,,,,
21624470.00,,,,
24374079.00,,,,
32604539.00,,,,
55651650.00,,,,
18602356.00,,,,
31513978.00,,,,
23615100.00,,,,
34804872.00,,,,
29629476.00,,,,
31605640.00,,,,
25094592.00,,,,
15730770.00,,,,
28017970.00,,,,
27550015.00,,,,
22914213.00,,,,
24579840.00,,,,
19873706.00,,,,
23795974.00,,,,
12160512.00,,,,
25270778.00,,,,
19247592.00,,,,
15325072.00,,,,
42286830.00,,,,
28281960.00,,,,
18165860.00,,,,
27133832.00,,,,
23423988.00,,,,
39648150.00,,,,
9849408.00,,,,
16892178.00,,,,
28063500.00,,,,
20410500.00,,,,
26314848.00,,,,
17518278.00,,,,
17818149.00,,,,
21401028.00,,,,
25859332.00,,,,
35667450.00,,,,
23302080.00,,,,
26271014.00,,,,
29255556.00,,,,
20607769.00,,,,
18334866.00,,,,
60079427.00,,,,
23033440.00,,,,
19332235.00,,,,
21604624.00,,,,
21097923.00,,,,
26110410.00,,,,
25420300.00,,,,
25586620.00,,,,
11825152.00,,,,
32558814.00,,,,
25971055.00,,,,
21341505.00,,,,
21849504.00,,,,
25111350.00,,,,
17802200.00,,,,
30862794.00,,,,
18239844.00,,,,
20815812.00,,,,
17266200.00,,,,
18666945.00,,,,
23661781.00,,,,
5764276.00,,,,
19591536.00,,,,
26216296.00,,,,
16032334.00,,,,
51190651.00,,,,
18593686.00,,,,
13099620.00,,,,
19668933.00,,,,
19819800.00,,,,
30073512.00,,,,
23508552.00,,,,
21068388.00,,,,
31718226.00,,,,
14255694.00,,,,
18934840.00,,,,
29030832.00,,,,
26729908.00,,,,
28884080.00,,,,
25656664.00,,,,
28020137.00,,,,
16595824.00,,,,
13254945.00,,,,
24443500.00,,,,
36867672.00,,,,
26683455.00,,,,
22466906.00,,,,
34111308.00,,,,
11411716.00,,,,
17527104.00,,,,
8044868.00,,,,
19438540.00,,,,
24243975.00,,,,
22564828.00,,,,
26704345.00,,,,
18786872.00,,,,
27174420.00,,,,
23553882.00,,,,
24708812.00,,,,
19808060.00,,,,
22733264.00,,,,
12948336.00,,,,
29118576.00,,,,
18008740.00,,,,
9593116.00,,,,
24272108.00,,,,
18581332.00,,,,
10732176.00,,,,
21151900.00,,,,
23645754.00,,,,
13959561.00,,,,
21184540.00,,,,
36445410.00,,,,
16397882.00,,,,
18063045.00,,,,
22340324.00,,,,
18275397.00,,,,
16534175.00,,,,
12657130.00,,,,
12603205.00,,,,
15000177.00,,,,
25658303.00,,,,
14019532.00,,,,
21703500.00,,,,
12480792.00,,,,
17745833.00,,,,
10536032.00,,,,
14571072.00,,,,
19216890.00,,,,
9882304.00,,,,
21514622.00,,,,
12377358.00,,,,
19972655.00,,,,
12413346.00,,,,
6709815.00,,,,
17114544.00,,,,
19937696.00,,,,
19169612.00,,,,
11890866.00,,,,
17226560.00,,,,
9291348.00,,,,
29585452.00,,,,
21011575.00,,,,
13077985.00,,,,
11298954.00,,,,
10869651.00,,,,
12530630.00,,,,
15736082.00,,,,
32362016.00,,,,
9283530.00,,,,
16943962.00,,,,
12883680.00,,,,
17629017.00,,,,
14093065.00,,,,
12542495.00,,,,
23351506.00,,,,
12137265.00,,,,
33904780.00,,,,
16288755.00,,,,
11138378.00,,,,
12210102.00,,,,
14035980.00,,,,
7805025.00,,,,
18892080.00,,,,
13607902.00,,,,
10784256.00,,,,
9221688.00,,,,
14731461.00,,,,
14212978.00,,,,
19651847.00,,,,
10078992.00,,,,
17989188.00,,,,
30562740.00,,,,
11400809.00,,,,
12214440.00,,,,
11650848.00,,,,
25704300.00,,,,
21022690.00,,,,
12102168.00,,,,
15246240.00,,,,
32898932.00,,,,
21906724.00,,,,
11379250.00,,,,
10601512.00,,,,
19673864.00,,,,
9532457.00,,,,
10523040.00,,,,
5886012.00,,,,
16608229.00,,,,
9626706.00,,,,
9737372.00,,,,
4541703.00,,,,
10942224.00,,,,
11701768.00,,,,
7956669.00,,,,
22530893.00,,,,
13215782.00,,,,
8623986.00,,,,
10492089.00,,,,
11298880.00,,,,
14026955.00,,,,
9290996.00,,,,
26639360.00,,,,
6034149.00,,,,
9206193.00,,,,
7653296.00,,,,
14143500.00,,,,
9442077.00,,,,
10236652.00,,,,
13899984.00,,,,
16838755.00,,,,
8513505.00,,,,
7240625.00,,,,
11762451.00,,,,
5172764.00,,,,
7317551.00,,,,
6560566.00,,,,
10275772.00,,,,
7739270.00,,,,
7990850.00,,,,
11512150.00,,,,
6122252.00,,,,
7550202.00,,,,
13493916.00,,,,
13221585.00,,,,
9358032.00,,,,
10551780.00,,,,
7062034.00,,,,
11459630.00,,,,
10402903.00,,,,
15696852.00,,,,
13462380.00,,,,
7454538.00,,,,
9250093.00,,,,
6138993.00,,,,
9722424.00,,,,
12068076.00,,,,
14810350.00,,,,
12655962.00,,,,
6294352.00,,,,
7977200.00,,,,
7148765.00,,,,
7821270.00,,,,
8411682.00,,,,
6614172.00,,,,
5914604.00,,,,
5719538.00,,,,
5259260.00,,,,
10696840.00,,,,
6656874.00,,,,
14536660.00,,,,
12717216.00,,,,
12061192.00,,,,
7725400.00,,,,
8272000.00,,,,
5140869.00,,,,
5738040.00,,,,
11647517.00,,,,
7774682.00,,,,
4574340.00,,,,
5013026.00,,,,
5061150.00,,,,
3988383.00,,,,
4968138.00,,,,
7172065.00,,,,
4452378.00,,,,
4276512.00,,,,
8887997.00,,,,
6503917.00,,,,
10976430.00,,,,
3688884.00,,,,
7030720.00,,,,
3754288.00,,,,
6046142.00,,,,
6222000.00,,,,
7291720.00,,,,
6980328.00,,,,
6491300.00,,,,
8961329.00,,,,
4916998.00,,,,
5719055.00,,,,
3105357.00,,,,
4984122.00,,,,
7456350.00,,,,
6658549.00,,,,
6060096.00,,,,
3184419.00,,,,
2603480.00,,,,
4189616.00,,,,
6078072.00,,,,
3178238.00,,,,
4474845.00,,,,
5106328.00,,,,
2675940.00,,,,
1634713.00,,,,
1582607.00,,,,
3208673.00,,,,
8596113.00,,,,
4989684.00,,,,
2909673.00,,,,
4508256.00,,,,
9160280.00,,,,
2860507.00,,,,
3710520.00,,,,
2432850.00,,,,
3608528.00,,,,
1683207.00,,,,
1083294.00,,,,
2423403.00,,,,
2547012.00,,,,
4374372.00,,,,
812776.00,,,,
2645948.00,,,,
2310174.00,,,,
1444170.00,,,,
1827000.00,,,,
2905075.00,,,,
699490.00,,,,
1404651.00,,,,
970417.00,,,,
561375.00,,,,
1228464.00,,,,
481545.00,,,,
463505.00,,,,
3560532.00,,,,
554156.00,,,,
435078.00,,,,
589302.00,,,,
873582.00,,,,
433978.00,,,,
336897.00,,,,
288250.00,,,,
275176.00,,,,
313170.00,,,,
282460.00,,,,
133112.00,,,,
175593.00,,,,
144804.00,,,,
73502.00,,,,
67847.00,,,,
